,Reviews
29,"курс крайне полезен, очень хорошее продолжение курса для начинающих!"
30,"Пожалуй, это из лучших курсов-сборников задач по ЕГЭ, так что я благодарю Тимура и всю команду BeeGeek за проделанную работу и желаю им всего самого наилучшего, а также новых курсов - надеюсь, таких же отличных, как и этот. И не только по ЕГЭ ^-^"
31,Супер
32,"Прекрасно!! Курс затягивает, как компьютерная игра-квест. Получил удовольствие и всем рекомендую."
33,Очень хорошо структурированный и удобный для изучения курс
34,"Уважаемый преподаватель, узнал много новых частных деталей. Курс полезен для углубления знаний. В этом заключается достоинство разработанного Вами курса. Материал хорошо проиллюстрирован и отмечена достойная подача информации. Благодарю Вас!"
35,было очень сложно но очень интересно🤗
36,Этот отзыв оказался полезным?
37,Очень помог курс перед экзамен по социально-экономической статистике и для практики! Спасибо!
38,"Курс хороший, подробно рассказывают базу, о чем уже много писали, поэтому оставлю больше комментариев именно для биологов. Первые лекции можно смело пропускать, выполняя задания, чтобы убедиться, что все сохранилось в голове после лекций в универе. Про клонирование было слушать уже интереснее, этого нам не рассказывали. Но все же там далеко не все и далеко не самые технически простые методики, хотелось бы увидеть еще. Однако рассказывают очень подробно и наглядно, хорошим языком, прояснились некоторые моменты. Про задания отдельная история. К первой половине (примерно) лекций задания делаются легко, максимум сайт рестрикции загуглить или комплементарную последовательность, но позже довольно большую долю занимают либо абсолютно одинаковые задачи (не, я понимаю, что в реальности у тебя тоже есть последовательности, к которым нужно подбирать праймеры и все время что-то копи-пастить, но можно было бы ограничиться несколькими примерами) либо задачи по онлайн-ресурсам, которые сейчас не работают или сменили алгоритмы решения задач. Это превращает простую задачу в нерешаемую и неприятную. + с телефона получится делать только задачи из начала курса, тк длинные последовательности в мобильной версии просто съедаются. Короче, лекции некоторых разделов могут быть полезными и для тех, кто окончил биологический факультет, но задания для биологов часто скучные."
39,"Очень хороший курс! За исключением спорной теории, к примеру на счет количества корней в квадратном уравнение!"
40,"Отличный курс! Четко структурирован: вводная часть, теория, выводы, практика. Последовательная и действительно качественная подача материала с классными слайдами. Лектор объясняет теорию легко и доступно, подкрепляя хорошими примерами. Все это положительно сказывается на восприятии информации. Спасибо за курс)"
41,Этот курс идеален для новичков и для школьников
42,"Всё прекрасно, и подача материала, и интересные задачи, и коментарии под уроками."
43,Хорошо! Авторам желаю еще добавить задач!
44,Хороший курс для подготовки к егэ
45,Больше таких курсов!
46,"Хороший курс для начинающий и для тех, кому необходимо повторить азы молекулярной биологии и генетики."
47,"Очень лаконично, доступно и интересно."
48,"Курс приятный, после питона(который освоил тоже вместе с Михаилом Густокашиным), плюсы поддались в отличии от самостоятельных попыток. Плюсы: Базовое знакомство с синтаксисом, достаточное количество задач, объяснение как работать с отладчиком. Минусы: Так и не понял про пространство имен и библиотеки"
49,"Очень непросто, но очень интересно! После Python и C# это совсем другое программирование. Думаю, ещё не раз вернусь к материалам курса, чтобы всё окончательно уложить в голове."
50,Мне все понравилось
51,Отлично!
52,"Отличный курс. Прекрасно подойдет даже тем, у кого обширные пробелы в математике."
53,Отличный курс
54,"Интересный курс, побуждает к самостоятельной работе будущих программистов. Соотношение количества поданного материала и объёма самостоятельной работы при решении задач считаю оптимальным и взвешенным. Спасибо разработчикам курса и преподавателям!"
55,Отличный курс
56,"Структурированная информация. Четкий контент, без воды. Практические задания разного уровня сложности помогают качественно закрепить теорию. Спасибо!"
57,Нет обратной связи
58,Рад что прошел этот курс
59,Как сладко когда понимаешь что ты уже на полпути к победе
60,"курс непонятный много инфы пропущенно, тока комментарии помогают"
61,"Спасибо за курс. Для новичков очень интересный и захватывающий. Даже те темы, которые раньше знал , повторил и узнал что-то новое."
62,"Курс очень понравился. Задач не очень много, но они объёмные и интересные, хоть иногда и не до конца понятно сформулированы)"
63,Очень хороший курс!
64,"Очень интересный и познавательный курс, авторам спасибо! Уложилось наконец в голове многое из того, что годами повторяли в универе на занятиях. Очень интересные задания, реальные практические задачи, близкие к тем, что решаются настоящими учеными. Приятная возможность поработать с реальными программами, которые используются в научной практике. Некоторые задания конечно едва ли не сводят с ума, но вполне решаемо, если долго мучиться. Из недостатков только некоторые вопросы со сложной математикой, и устаревшие нерабочие ссылки в некоторых заданиях"
65,Отлично.
66,Отличный курс! Очень удобно заниматься
67,"Отличный курс. Внимание! Есть видео по подписке. Но их не много, задания все открыты и курс можно пройти и без просмотра этих видео."
68,Отличный курс для новичков
69,Все довольно понятно и полезно но бывают задачи которые очень сложно понять
70,"Отличный курс! Большое спасибо преподавателям! Единственное замечание: было бы намного лучше, если лекции были разбиты на более мелкие фрагменты 3-5 минут вместо 10-15 минут."
71,"Было полезно, но конечно не хватает объяснения, когда появляются вопросы при решении задач."
72,"Большое спасибо за хороший, интенсивный курс."
73,"онлайн курс хороший ,но хотелось бы больше разновидностей задачек"
74,"Курс неплохой, жаль, что работа с сетью как-то пройдена стороной, про модули тоже нет информации, но даже с учетом небольших недоработок ставлю 5"
75,Спасибо за разборы задач !
76,"Замечательный курс) очень интересный и увлекательный, буду ждать продолжения😉"
77,"Большое спасибо за возможность пройти этот курс. Хоть я и считаю, что хорошо разбираюсь в программировании, тем не менее, этот курс помог понять свои слабые и сильные стороны, а также улучшить навыки работы с алгоритмами."
78,Отличный курс! Главное не ленитесь!
79,Большое спасибо преподавателям за такой отличный курс! Понятное изложение теории и множество интересных задач!!
80,"Увы, но чем дальше учишься, тем меньше задач дают на закрепления материала. К концу курса задач нет вовсе. Это плохая политика как я считаю. К тому же довольно много видео доступны только после платной подписки."
81,"Всё чётко, понятно и по делу. Отличный курс. Всячески рекомендую!"
82,отличный курс
83,все очень интересно и понятно!
84,"Курс очень понравился в плане того, что позволяет быстро вспомнить темы и набить руку на решение первой части."
85,"Бывает, что введено очень много терминов в одном видео, при этом не ясно, какие термины ключевые и важные, а какие проходные. Трудно действительно осознать курс без глубокого знания химии. Приходится много просто запоминать, без осознания причин. Хорошо сделано, что в конце степа зачастую повторяется что в нем было проделано. Очень хорошо сделаны конспекты в конце параграфов. Толщина линий и почерк в комментариях по ходу рассказа делают комментарии не всегда понятными."
86,"Просто отличный курс, особенно для тех кто хочет расширить свои знания и научиться чему то новому."
87,"Всё нравится, правда иногда программа воспринимает правильный ответ за неправильный, прошу обратить внимание на это, а так всё устраивает;)"
88,"Курс хороший и очень доступный базовый. Нравится, разноплановость задач, понятная подача материала, возможность просмотра решений других пользователей, чтобы сравнить, найти более качественные варианты решения и усвоить их. Мне лично было сложно в решении некоторых задач, но эти сложности были связаны не с написанием кода, а с понимаем логики (задачи по шахматам, привет). Но это тоже считаю полезным, потому что в работе часто приходится сталкиваться с тем, чего ты не знал, и нужно уметь самому разобраться в вопросе и найти решение Спасибо!"
89,Мне понравилось
90,Очень понравился курс. Интересные задачи (иногда с подковыркой!). Советую!
91,Отличный курс. У автора преподавательский талант. Аплодисменты. Иду на след.курс
92,все круто!
93,"Отличный курс! Объяснения без занудства и на примерах, много задач, сложность разная, мозги включаются и это хорошо!"
94,Енотики милые
95,Хороший курс для понимания основ теоретической базы
96,Прекрасный курс. Все понятно и логично. Отличный лектор!) Подойдёт новичкам.
97,"Курс мне однозначно нравится. Очень понятно объясняет Анатолий. Купил до этого курса другой на udemy и вообще не то. Почти все темы по отдельности я понял хорошо, но пока ещё не очень хорошо сложилась общая картина того, где и как использовать все бы разные тесты, критерии, методы и т.д. Наверное, это всё придет с практическим опытом. Спасибо Анатолию за такой хороший бесплатный курс."
98,"Хороший курс! Поначалу очень простые задачки, ближе к финишу - над некоторыми задачами приходиться подумать."
99,"Очень полезный и интересный курс, благодаря ему, я смог постигать C#, огромное спасибо преподавателям и создателям курса!!!"
100,замечательный курс! спасибо большое авторам <З <З <З
101,"С точки зрения теории курс очень хороший. Ну конечно есть и минусы. Иногда не очень понятна суть задачи. Чем дальше проходишь, тем меньше показана основная реализация. Т.е. я не могу понять что там за кулисами. Мне дали кусочек, и сказали дописать, что не позволяет мне воспользоваться отладчиком. Ну и куча неизвестных тестов. Это как дать задачу без тз и говорить что все время не так сделал. Не представляю какого тем кто новичек и не знаком с языком... Конечно будешь потом писать что С++ это адская вещь)))) Не удивительно что 75% к концу курса отвалились..."
102,Очень полезный курс. Авторам большое спасибо!!!
103,очень хорошо!
104,"Очень познавательный курс! Все подробно разъясняется, благодаря наличию фото и видео. За время прохождения курса узнала много нового! Оценка 10 из 10!!!"
105,"Прежде всего, хочу от всей души поблагодарить всю stepik-команду за организацию ПРЕКРАСНОГО курса ""Поколение Python"": курс для продвинутых! Следуя Чехову, отмечу, что в курсе прекрасно все: и последовательность изложения, и его глубина, и верификационные вопросы, и интересные задачи! Особо хочу отметить подвижничество команды - видно, что их цель состоит не в ""рубке бабла"", а в попытке заставить человека искренне полюбить Python. И в отношении меня, прошедшего через Basic, Fortran, Turbo Pascal, Borland C++, Delphi, эта цель достигнута! Большое спасибо еще раз!"
106,"В данном курсе присутствует крупная база разноплановых математических задач, охватывающая всю школьную программу. Короткие видеоролики с доступным объяснением материала предшествует каждой группе тематических упражнений, а руководитель и другие участники курса, при каких-то сложностях, оперативно помогут решить задачу."
107,"Отличный курс, для меня было очень много нового и полезного материала"
108,"Отличный курс, чтобы решить все задачи пришлось всё понять"
109,Круто
110,"Курс отличный, вне всякого сомнения! Но нужно больше задач, еще больше! На работу со списками, на обработку строк, и особенно на функции. Желаю успехов команде курса и жду ""Курс для продвинутых++"" :)"
111,"Весьма проработанный по материалу курс. Особенно порадовали физические эксперименты, проводимые лектором. Слушатель сможет познакомиться с тепловыми, электромагнитными явлениями, а также с оптикой и началами ядерной физике. Курс рассчитан на профильные 8-9 классы. Имеется дополнительное финальное тестирование в форме ОГЭ по физике. Однако в курсе содержатся некоторые опечатки в материалах, а также на данный момент невозможно решение задач с развёрнутым ответом, за что снижаю 0,5 балла. В итоге 4,5/5 баллов за курс."
112,👍👍
113,"Замечательный курс, в ходе которого можно освоить много полезных программ и интернет-ресурсов. Данный проект содержит подробные видеоуроки, но все равно заставляет шевелить мозгами. Желаю курсу как можно больше участников!"
114,курс хороший но в последних главах нет задач - и это плохо ведь надо отрабатывать изученный материал - ведь он сложный
115,"Отличный подбор задач, разумное построение курса и замечательная подача теории, также понятный и удачный разбор задач для примера. Всем рекомендую для самостоятельной подготовки к ЕГЭ и ОГЭ."
116,"К сожалению, не могу рекомендовать этот курс для изучения языка, особенно с нуля. Очень поверхностно рассказано, приведены примеры, а после задание, и в каждом втором случае надо использовать что-то о чем не упоминалось в курсе. Кстати, очень много замечаний как раз под задачами от учеников. Формулировки тоже сбивают с толку, когда и так не особо понятно что надо делать. Курс подойдет, чтобы освежить знания или же порешать задачки для подготовки к олимпиадам. Основной плюс курса - это полезные комментарии от учеников с разными статьями, которые раскрывают тему более полно, но не советую начинать этот курс, если для Вас это первый язык."
117,"Курс просто чудесен! Как и для новичков, так и для повторения."
118,"Мне курс очень понравился. Но если добавите больше примеров для решения, то, я считаю, будет еще лучше."
119,Курс не понравился. Для понимания базовых понятий разъяснения крайне сложные. В аудитории лектору я бы не аплодировал..
120,"Большое спасибо за курс! Все очень интересно и доходчиво. Авторы просто молодцы, желаю им успехов во всех начинаниях!"
121,"Прекрасная дикция, лаконичность и структурированность подачи! Я в восторге! Конечно, подписан как спонсор канала. Спасибо, Артём! Небольшое замечания: раздел сортировки 10.6-10.7 надо передвинуть перед JSON."
122,"Отличный курс для начало,однако были некоторые трудности при решение задач Из плюсов: Объясняют на понятном языке Помогают при проблеме с решением задачи в комментариях Много практики Отличные задачи Из минусов: Хотелось чтобы в середине курса было объяснение как пользоваться отладчиком,чтобы во время неправильного решения задачи,те кто проходят курс сами искали ошибку,а не сразу бежали в комментарии,чтобы спросить о чем-то или подсмотреть чужой код ( как это делал я )"
123,Отличный курс
124,Хороший курс.
125,Отличный курс! Рекомендую!
126,Очень хорошо объясняется материал
127,"Изучить язык с этим курсом невозможно. Понять суть, структуру, возможности и ограничения языка - нет. Заучить ряд шаблонных действий - да. Забыть это после даже небольшого перерыва - да. Курс мне напоминает попытку научить школьника говорить на иностранном языке путём заучивания готовых предложений. Вроде слова их его уст звучат на нужном языке, но говорить реально кроме ""Май нэйм из ... Ай лив ин Москоу"" ничего не может. Я уж не говорю про общение. Как итог - пару недель, и не сможете даже воспроизвести то, что изучали пару тем до этого. В общем, отстой полнейший. Последние две темы вообще тёмный лес. Используются понятия, о котоырх надо читать где-то ещё. Если бы не обязаловка пройти курс для оценки, никогда не бы пошёл бы. Никому, повторяю, даже врагу своему, желающему по своей воле изучить язык, не рекомендую его. От слова совсем. И бесплатность курса не причём. Я оцениваю курс как способ изучить язык программирования,"
128,Большое спасибо за курс!!!
129,"Хороший курс, хотелось бы побольше практики."
130,"Очень полезный курс, спасибо. 19 задание всегда вызывало ужас, а тут многое стало понятным, и я даже как-то успокоилась. Не хватает ввода ответов на пункты а) б), и еще хотелось бы разбор заданий поновее."
131,Отличный курс!
132,мне очень нравится этот курс!
133,"Хороший курс, нравится объем задач и их качество"
134,"хороший курс, если не сильны в R - практику можно опустить )"
135,"Курс не плохой, помог оперативно вспомнить и повторить понятия общей биологии."
136,"Спасибо за доступное изложение материала, жаль, что мало комментариев и объяснений к заданиям"
137,"Отличный курс. Из пожеланий - хотелось бы побольше объяснений ""почему так"", хотя это и выходит за рамки школьной программы. В школе всегда не нравилось учить формулы на память, вместо понимания."
138,Хороший курс для повторения всего школьного материала по математике. Советую его пройти.
139,хороший курс
140,"Мне очень понравился курс, большое спасибо создателям. Много интересных задач, все последовательно и строго. Из минусов можно указать только отсутствие поддержки курса (ссылки на сайты не работают или сайты сильно изменились). Все равно благодарна за курс, получила много полезной и интересной информации."
141,Понравился курс
142,"Курс логично составлен и не только хорошо подает материал, но и поддерживает интерес к решению задач. Очень много было дней, когда не было времени совсем, но все равно решал хотя бы одну задачу, чтобы не прерывать серию. Прекрасный курс, спасибо авторам!"
143,Отличный курс
144,"Прекрасный курс, много задач для практики."
145,Отличный курс.
146,"Информативный и приятный курс, без воды. Мне конечно не хватило возможно более подробного разъяснения некоторых тем, но это потому что я совсем с нуля) Думаю, что буду периодически возвращаться к нему по определенным темам. Спасибо за возможность учиться качественно и бесплатно!"
147,"Хочу выразить огромную благодарность! Курс просто потрясающий: все понятно, доступно и очень наглядно! Я узнала для себя много нового, научилась работать с ранее незнакомыми программами, а также смогла еще глубже познакомиться с объектом своих исследований. Уверена на все сто процентов, что буду пользоваться полученными знаниями в дальнейшем. Однозначно 10 из 10!"
148,"Хороший курс, достаточно подробный, большое количество заданий для отработки навыков программирования и усвоения основ Python."
149,"Если лектор знает о чём говорит, тогда и слушать его легко. А умение говорить о сложных вещах простыми словами - это сродни таланту. Отлично."
150,"Спасибо. Уже не первый раз на ваших курсах. Как всегда всё очень познавательно и увлекательно. Хочется идти до конца. Я с вами не прощаюсь, до следующей встречи!"
151,Очень полезно!
152,норм.
153,"очень доступная подача информации, интересные задания, но хотелось бы немного больше практичных задач для закрепления пройденного материала, а так приходится искать задачи на сторонних ресурсах:)"
154,"Хороший курс. Много заданий. Решив их все, можно не беспокоиться за номер 15 ЕГЭ. Спасибо авторам за курс. PS. Осторожно, можете разлюбить красный цвет))"
155,"в курсе объяснения понятны и легки, всем советую"
156,"Пожалуй, идеальный баланс теории и практики."
157,Замечательный курс! Может послужить хорошей базой для дальнейшего освоения статистики. Спасибо создателям!
158,"Отличный курс, хорошее объяснение материала, введение в ООП. Рекомендую. Из минусов: немного маловато практических упражнений в некоторых разделах, но возможно, автор со временем это доработает. Спасибо!"
159,"Прекрасный курс! Теория подаётся понятно, но при этом достаточно строго. Задач много: от совсем простых на понимание определений до довольно сложных, которые побуждают к более глубокому математическому исследованию. Порадовали (хоть и стоили много сил) задачи с последовательным анализом сложной ситуации. Очень милые ролики с привлечением студентов и школьника. И в целом курс ламповый и крайне приятный"
160,"100% заслуживает внимания. Вызывает сложности, что в свою очередь способствует углублению в материал за рамками курса."
161,"Хороший курс, спасибо большое! Осталось немного вопросов, местами было не очень понятно, но для старта самое то, благодарю за труд!"
162,Отличный курс. Все темы понятно разобраны для начинающих изучать статистику
163,Будет крайне тяжелым для новичка.
164,Курс мне понравился. Хорошая подача материала
165,"Положительные впечатления от прохождения курса. Очень важно набраться терпения и не бросить в первую неделю обучения, потом становиться легче и понятней."
166,"Лично мне курс очень и очень понравился. Возможно он будет сложен для случайного человека, или не очень подготовленного старшеклассника, но, на мой взгляд, это только плюс. Для верного ответа на задания в принципе достаточно поданного материала в лекциях. Но материал подаётся почти без ""воды"", а потому слушать надо внимательно. Рекомендовал бы не пропускать последний пункт каждого модуля, который назван ""Резюме ... урока"" - там есть интересная дополнительная информация. А ещё много любопытной информации в комментариях. Спасибо за такой курс! Удачи вам, создатели курса!"
167,Отлично!
168,Очень хороший курс. Даёт основные понятия статистики без большой теоретической нагрузки. Очень понравился
169,"Курс очень хороший, веселый и интересный! Советую всем!"
170,"Отличный курс. Всё понятно разъясняют, единственное пожелание: добавьте к задачам какие-то подсказки по проверке в степике, часто бывает такое, что код работает корректно не только в Visual Studio, но и на самом сайте, однако при проверке действий алгоритма выдает ошибку Test failed. Приходится убивать часы, чтобы понять, что не совпадает с правильным вариантом степика."
171,Более чем доступно. Спасибо
172,Отлично)
173,Спасибо за курс.
174,"Замечательный курс! Позволил вспомнить школьный курс математики! Добавил в закладки, буду раз в пару лет просматривать для повторения и закрепления!"
175,Карантин прошел не зря :)
176,"Отличный курс, мне очень нравится. Местами сложный, но очень полезный."
177,"Курс хорош, но необходимы хоть какие-то знания в биологии, для только начинающих будет тяжко. Но, при желании и помощи гугла освоить возможно."
178,курс топ)
179,Очень хорошо все разжовано.
180,Хороший набор алгоритмических задачек.Хороший набор алгоритмических задачек.
